attention meditation delta theta velocity
60 70 1534512 252272 0 
77 70 1857066 290787 0 
80 70 990925 347895 0 
77 80 699018 38729 0 
77 80 816799 81288 0 
77 80 784160 1518377 0 
77 80 933499 29516 0 
74 90 400436 26463 0 
54 74 2119903 130284 0 
63 80 1329096 187770 0 
74 69 1701243 249211 0 
60 50 1391953 671253 0 
77 97 586403 14824 0 
80 100 432400 150068 0 
80 81 2061313 647667 0 
81 50 2274039 67133 0 
83 54 1037320 155728 0 
90 67 2751629 604669 0 
90 67 2692222 38515 0 
90 67 1118920 64218 0 
78 74 2100766 437185 0 
78 74 290795 165000 0 
78 74 2014670 44994 0 
67 75 1115377 120766 0 
67 75 298300 28156 0 
77 69 43102 12352 0 
83 63 1566986 72602 0 
83 63 696936 51737 0 
75 63 352042 79138 0 
75 63 961179 158519 0 
75 63 1147587 281568 0 
75 63 1438417 548267 0 
87 44 29945 99341 0 
87 44 1062972 63094 0 
90 29 1105439 1193152 0 
90 29 1105439 1193152 0 
90 29 3080283 933590 0 
96 21 1176485 1005444 0 
96 21 912644 133327 0 
96 21 895496 149812 0 
96 21 621705 45821 0 
100 29 261310 32470 0 
100 29 303587 47391 0 
100 29 417911 284459 0 
100 29 1244845 398468 0 
100 29 206662 330492 0 
100 29 562180 59454 0 
100 29 1092141 131159 0 
100 29 167 75 0 
51 3 1000145 1259585 0 
44 23 1503788 337307 0 
38 4 1078563 291912 0 
37 34 819558 90947 0 
56 60 997555 35889 0 
57 53 1933434 783160 0 
54 70 332988 64643 0 
53 61 557960 78470 0 
53 60 1729197 529778 0 
63 50 1563979 227444 0 
63 64 385215 273090 0 
66 57 594333 120624 0 
57 54 1065204 197372 0 
60 44 967651 133647 0 
63 51 928224 81598 0 
44 43 56156 80768 0 
35 41 1205709 588702 0 
21 43 725751 349292 0 
69 63 1943357 313260 0 
67 63 3901333 845769 0 
80 64 718365 79101 0 
56 60 552482 581177 0 
51 57 266809 78080 0 
50 47 1527784 586412 0 
54 43 409978 456184 0 
75 60 806207 16567 0 
69 67 917448 243320 0 
60 67 718831 553510 0 
60 77 312040 154608 0 
48 70 1802330 967298 0 
63 66 742271 84278 0 
69 77 858324 185216 0 
64 67 770905 493798 0 
37 80 542506 80037 0 
35 78 456081 87393 0 
43 80 290003 611441 0 
48 64 639549 77489 0 
53 61 125765 31306 0 
53 61 813061 90344 0 
47 74 2114158 262338 0 
41 87 1396766 65396 0 
48 90 1346403 38402 0 
44 81 242073 16958 0 
40 83 2190283 489710 0 
43 69 806290 308250 0 
47 78 1200149 264129 0 
53 78 58774 9680 0 
48 84 1307310 558123 0 
61 84 661414 237825 0 
67 78 1379211 464860 0 
63 80 447589 43818 0 
48 63 50903 11527 0 
63 64 817883 14139 0 
63 64 651943 93999 0 
63 64 417550 19260 0 
54 57 1160081 449291 0 
53 51 33318 23399 0 
51 57 445207 69917 0 
51 57 1740517 267154 0 
41 41 1346646 85808 0 
67 61 1294945 140974 0 
67 60 686193 261394 0 
48 64 265023 280769 0 
37 47 644151 120150 0 
56 24 1405085 121291 0 
88 43 1142581 24076 0 
84 30 1562004 266773 0 
78 61 1577976 39375 0 
70 51 1958395 343777 0 
48 37 624470 157407 0 
37 23 1609857 1778078 0 
40 24 856085 12888 0 
29 16 613548 1138524 0 
34 14 1555306 101285 0 
35 54 709022 43730 0 
30 50 495394 17087 0 
38 64 990290 37152 0 
34 74 152676 71960 0 
48 48 268314 75027 0 
51 56 11839 30934 0 
69 44 1788706 68084 0 
74 60 1511531 83369 0 
67 56 1015584 72692 0 
77 43 24691 28681 0 
75 81 272553 147208 0 
87 81 21496 72599 0 
90 77 19014 14007 0 
88 51 138687 16382 0 
67 41 96804 32521 0 
60 47 72497 28274 0 
69 66 510124 20006 0 
93 64 4832 8479 0 
97 44 17985 15783 0 
93 40 844822 16717 0 
100 40 15844 9161 0 
96 37 26503 20926 0 
93 60 184778 13996 0 
84 37 119461 99482 0 
84 37 734797 70551 0 
69 37 676466 58033 0 
51 63 247556 34885 0 
44 57 422959 28218 0 
43 63 106481 109156 0 
60 63 1383269 164926 0 
60 34 1848696 203044 0 
57 43 521296 40260 0 
54 35 305662 292855 0 
44 29 770913 140674 0 
44 41 2035597 268460 0 
38 21 1626359 176297 0 
41 29 2342643 748261 0 
41 43 545479 61375 0 
40 47 1505339 506832 0 
48 61 714827 78980 0 
43 60 631866 179445 0 
50 48 857452 41849 0 
53 29 68848 24518 0 
47 14 1885395 103765 0 
43 21 649033 59039 0 
26 26 289028 82497 0 
21 44 765811 109475 0 
14 60 730462 37487 0 
23 60 231126 83646 0 
26 54 438990 170736 0 
30 53 2358098 226473 0 
34 40 370755 73031 0 
37 37 943607 57785 0 
51 24 214476 74131 0 
41 24 1706888 944476 0 
43 29 477623 149038 0 
38 29 3115194 569152 0 
24 37 1489136 127923 0 
29 34 1482752 541116 0 
29 24 300600 36623 0 
43 29 863806 133641 0 
47 38 309176 42349 0 
40 41 1819477 221594 0 
37 27 395772 87366 0 
17 40 1297223 122660 0 
24 44 851175 20407 0 
64 56 328523 5667 0 
69 66 1219690 62790 0 
50 74 35042 11723 0 
44 66 205484 70394 0 
29 57 3180358 331273 0 
37 60 38757 46265 0 
27 40 90534 56617 0 
47 35 107483 31296 0 
56 27 719569 51956 0 
43 13 689137 89306 0 
53 37 1148539 276729 0 
48 37 123792 7914 0 
50 37 1648527 171807 0 
48 34 253068 84237 0 
40 10 459253 174786 0 
27 27 683194 76032 0 
23 35 732932 64867 0 
37 57 628778 13556 0 
53 77 1810244 138858 0 
74 60 106824 34480 0 
66 56 156106 20099 0 
74 53 1029122 8044 0 
60 56 598067 130999 0 
40 81 83044 39070 0 
38 69 1138963 537663 0 
21 54 1238434 101681 0 
23 27 2706573 407358 0 
20 8 298275 186776 0 
30 11 1478163 257638 0 
40 23 1104586 115858 0 
40 41 889969 80131 0 
37 34 346756 187011 0 
30 75 120172 3444 0 
43 54 44055 67866 0 
40 27 185439 22808 0 
54 30 1063406 155720 0 
56 34 273208 19311 0 
60 43 202601 28593 0 
69 61 27539 15208 0 
64 63 773539 140377 0 
48 43 726470 160075 0 
44 57 458647 18571 0 
43 74 534001 22712 0 
47 75 291275 42945 0 
38 70 1322376 366061 0 
38 69 179685 126368 0 
70 61 121691 35309 0 
57 50 2399822 285135 0 
54 50 101222 42875 0 
50 44 520192 102764 0 
51 56 62955 53131 0 
43 57 196150 10256 0 
51 74 127243 12357 0 
41 51 1157591 150310 0 
44 77 754604 59029 0 
51 77 343160 29561 0 
37 57 671585 237511 0 
44 70 199752 36595 0 
47 74 294594 23334 0 
53 81 103893 134277 0 
43 61 190501 27640 0 
27 40 523331 407591 0 
27 50 1822827 35458 0 
34 53 1007976 42703 0 
47 84 928002 9522 0 
60 94 861689 22711 0 
38 84 404414 46489 0 
38 84 1938542 221317 0 
48 75 228357 13919 0 
43 74 656310 361964 0 
56 60 108299 20963 0 
48 63 1447176 49486 0 
40 66 318929 494604 0 
41 61 249006 110115 0 
43 61 791621 55072 0 
53 67 878000 95704 0 
56 70 2950033 360056 0 
54 74 543712 120614 0 
40 61 2540072 394465 0 
30 60 1905206 66338 0 
37 63 1977009 86769 0 
53 67 324448 6468 0 
35 64 1191684 473495 0 
38 74 556655 42456 0 
29 78 253656 38937 0 
10 63 62695 39361 0 
24 78 1447527 54057 0 
23 77 720930 62774 0 
38 80 295988 23466 0 
47 66 202979 58534 0 
48 57 501635 334304 0 
47 53 881757 42394 0 
38 43 2580376 677418 0 
37 50 2003440 656569 0 
34 41 273626 150402 0 
30 40 1936894 80476 0 
29 51 2275018 421215 0 
37 60 610219 204514 0 
38 70 854823 68067 0 
38 74 741334 163272 0 
38 74 1616027 300350 0 
38 74 1078868 397792 0 
40 48 2057711 724140 0 
53 63 1186308 192107 0 
47 64 1175043 233053 0 
34 54 349114 575782 0 
37 54 1710648 545282 0 
47 66 737511 105650 0 
35 47 23327 121326 0 
43 64 1166396 55605 0 
44 51 379003 108491 0 
48 30 892517 131888 0 
60 40 199795 30994 0 
57 50 181034 9654 0 
61 80 35742 71154 0 
53 87 246417 17450 0 
66 70 90963 46710 0 
75 66 87769 12575 0 
74 66 37950 40193 0 
75 57 348754 131337 0 
54 63 660429 241929 0 
41 60 13745 24356 0 
56 66 70436 10097 0 
61 83 435928 40833 0 
57 77 226033 87004 0 
54 81 1589266 98830 0 
50 64 96718 6897 0 
54 61 468698 32890 0 
66 66 1743356 110022 0 
60 60 477370 48916 0 
60 70 723497 62247 0 
54 70 409621 45228 0 
56 80 101846 15133 0 
67 93 145961 38491 0 
54 93 477092 388233 0 
63 87 1125179 48441 0 
53 67 1421241 571646 0 
41 60 2291968 238111 0 
41 57 650661 84007 0 
34 57 1776843 143706 0 
61 60 1352352 470191 0 
61 60 821715 57200 0 
57 56 1071185 522518 0 
57 61 276504 65312 0 
43 64 557637 172332 0 
50 78 891172 54694 0 
66 74 1974169 1268546 0 
60 77 749685 143848 0 
53 66 450984 146993 0 
30 66 142946 64160 0 
30 70 2348288 170198 0 
63 51 673072 249805 0 
63 43 2094777 516893 0 
67 47 2566409 72712 0 
88 30 1980024 384263 0 
93 47 924982 73133 0 
84 50 628204 147227 0 
75 47 1805269 203244 0 
63 69 1755145 68103 0 
67 74 161415 22626 0 
70 67 166970 68146 0 
63 51 258564 768990 0 
54 38 281150 386006 0 
41 40 741091 107897 0 
29 60 101936 144724 0 
30 69 372267 25393 0 
47 90 1557780 56785 0 
51 80 468304 79166 0 
48 74 1035950 324903 0 
29 57 2372770 260209 0 
27 56 1335079 27055 0 
38 53 361463 221302 0 
50 54 837650 211870 0 
64 53 1911590 1236558 0 
64 53 976907 228508 0 
56 53 280719 124101 0 
57 57 751329 97071 0 
57 57 344380 26142 0 
57 57 738093 860732 0 
57 57 1816729 1746474 0 
57 57 1296029 94661 0 
57 57 690777 26594 0 
57 57 1112320 700603 0 
57 57 152140 35079 0 
64 51 1144479 389194 0 
47 61 2119354 730063 0 
24 70 2053836 342579 0 
16 75 1433553 1850709 0 
21 77 50333 14661 0 
29 74 734223 880472 0 
27 66 2218854 344052 0 
38 60 231873 23107 0 
29 40 22371 52297 0 
27 50 1609253 496410 0 
24 64 893528 33640 0 
20 60 690249 92102 0 
17 53 699868 226271 0 
23 48 440968 155608 0 
0 0 940351 327038 0 
34 64 824566 310607 0 
35 30 320228 81300 0 
26 10 457457 114229 0 
30 10 633398 123140 0 
38 7 618828 77808 0 
56 3 144550 242732 0 
84 17 33369 8738 0 
81 21 303225 115023 0 
90 13 63416 23943 0 
100 20 39676 18479 0 
96 16 11480 15050 0 
90 10 60437 50576 0 
100 27 16344 10655 0 
96 29 20679 11416 0 
87 26 54674 34858 0 
97 30 588395 67063 0 
88 27 7069 31182 0 
84 35 8693 14348 0 
83 27 178781 121157 0 
29 34 26824 13494 0 
41 50 319893 18254 0 
47 47 1113441 210038 0 
43 50 1032254 121590 0 
38 48 122721 42818 0 
30 35 618360 265398 0 
53 29 60389 32859 0 
44 27 32885 77287 0 
56 38 183808 116822 0 
48 29 116913 12470 0 
64 27 145678 4264 0 
64 23 66437 91262 0 
83 35 125302 32233 0 
66 23 844964 201262 0 
43 27 86507 46160 0 
37 35 155803 31759 0 
24 35 226582 26040 0 
41 51 57660 9413 0 
54 53 159372 37526 0 
48 54 86345 29322 0 
47 54 10237 11748 0 
47 41 77644 112029 0 
38 44 95361 113698 0 
60 29 107703 26719 0 
64 30 10709 7727 0 
64 40 278779 38388 0 
88 40 31414 81694 0 
70 40 118123 79859 0 
61 34 186956 12546 0 
64 43 14090 27414 0 
69 54 152798 21253 0 
67 61 162220 80334 0 
57 70 660683 103287 0 
53 54 1073107 186571 0 
50 43 516483 70745 0 
61 41 388237 42130 0 
74 41 157644 13916 0 
64 30 118356 186459 0 
60 24 1476141 196810 0 
43 26 932393 59830 0 
24 14 1336115 241281 0 
24 40 1422400 162888 0 
37 16 1784446 229168 0 
53 10 3377082 676717 0 
51 16 1195022 321888 0 
47 24 903700 122326 0 
