attention meditation delta theta velocity
56 48 1523158 122373 9,995003 
53 57 1808224 221473 9,995003 
43 70 1043697 99688 9,995003 
47 56 1362205 132857 9,995003 
44 54 256405 140909 9,995003 
80 53 139574 6854 0 
69 27 284074 79430 0 
84 38 392348 15380 9,995003 
66 23 2160541 864767 10,7463 
61 43 614875 660843 11,05923 
48 38 764369 102623 11,21516 
50 35 98690 158025 10,41545 
40 20 915693 1212070 9,995003 
35 3 203376 814894 9,995003 
27 4 121556 30914 9,995003 
27 1 773232 196286 9,995003 
51 16 1748401 47362 9,995003 
66 37 2437007 181909 9,995003 
70 51 672853 68752 10,10051 
69 43 887941 117163 10,20816 
75 43 1636889 477583 10,31386 
78 38 1703545 119988 10,42378 
75 37 1491857 380094 10,53277 
64 40 365945 147329 10,65141 
67 43 290924 73332 10,76601 
64 37 1120336 28110 11,00661 
67 48 1363723 291741 11,1306 
64 44 1071961 56408 11,25147 
67 54 185166 22346 11,38049 
53 48 814831 358767 11,50523 
61 27 1070376 239758 10,85168 
50 23 730134 670289 10,96733 
51 26 53269 10071 10,36504 
61 17 819551 76091 9,995003 
48 26 319632 99229 10,11467 
51 41 954124 237811 9,995003 
51 40 1082609 186164 9,995003 
57 53 624874 153490 9,995003 
87 64 1642938 74105 9,995003 
87 44 83021 53832 10,59165 
80 48 312691 129923 11,13452 
70 35 163904 32926 10,59695 
77 20 1191773 108394 10,7056 
69 34 54085 20209 10,81862 
81 34 812061 94348 10,92408 
87 34 166580 74310 12,08466 
100 40 29722 38246 12,68502 
94 38 1309082 127397 13,36186 
90 38 124398 8094 14,07482 
70 30 359082 466949 14,80361 
54 27 143168 73986 14,95391 
60 24 463974 110129 14,21772 
67 37 75222 61741 13,50427 
80 61 24093 14795 13,64409 
87 50 1948934 444519 12,90771 
77 48 1492363 196365 13,58285 
75 38 214763 82852 13,72899 
74 21 96366 90445 13,88641 
77 24 447654 87250 14,03722 
80 26 1882386 328765 14,19676 
