reward;lowBeta;highBeta;attention;currentProgress;timestamp(s)
4;7214;15133;24;58;80,94904
4;4194;20219;43;56;81,94474
4;8361;11410;63;66;82,93823
4;334;770;66;76;83,93141
4;42997;16646;64;86;84,92596
4;1485;1975;54;84;85,91818
4;6015;3522;47;82;86,91296
4;3703;4462;48;80;87,90519
4;46345;79198;44;78;88,89841
4;2853;10936;54;76;89,89465
4;17853;18520;54;76;90,89249
4;17553;22885;70;86;91,88344
4;47211;15627;74;96;92,88241
4;84850;23417;53;94;94,87266
4;9555;25021;56;92;95,87263
4;9504;5875;48;90;96,80304
4;7889;19649;56;88;97,80012
4;8621;15439;67;98;98,85969
4;7589;8511;50;96;99,85696
4;6808;10505;61;100;100,7896
4;5411;6542;50;100;101,7823
